,col,coef
86,Condition2_Norm,0.0
112,RoofStyle_Shed,0.0
113,RoofMatl_CompShg,0.0
114,RoofMatl_Membran,0.0
115,RoofMatl_Metal,0.0
116,RoofMatl_Roll,0.0
117,RoofMatl_Tar&Grv,0.0
119,RoofMatl_WdShngl,0.0
110,RoofStyle_Hip,0.0
120,Exterior1st_AsphShn,0.0
121,Exterior1st_BrkComm,0.0
85,Condition2_Feedr,0.0
123,Exterior1st_CBlock,0.0
124,Exterior1st_CemntBd,0.0
84,Condition1_RRNn,0.0
111,RoofStyle_Mansard,0.0
109,RoofStyle_Gambrel,0.0
83,Condition1_RRNe,0.0
90,Condition2_RRAn,0.0
91,Condition2_RRNn,0.0
95,BldgType_TwnhsE,0.0
96,HouseStyle_1.5Unf,0.0
97,HouseStyle_1Story,0.0
98,HouseStyle_2.5Fin,0.0
99,HouseStyle_2.5Unf,0.0
101,HouseStyle_SFoyer,0.0
87,Condition2_PosA,0.0
102,HouseStyle_SLvl,0.0
89,Condition2_RRAe,0.0
104,RoofStyle_Gambrel,0.0
105,RoofStyle_Hip,0.0
106,RoofStyle_Mansard,0.0
107,RoofStyle_Shed,0.0
126,Exterior1st_ImStucc,0.0
82,Condition1_RRAn,0.0
162,Foundation_Stone,0.0
154,ExterQual_TA,0.0
148,Exterior2nd_Wd Shng,0.0
149,MasVnrType_BrkFace,0.0
150,MasVnrType_None,0.0
79,Condition1_PosA,0.0
152,ExterQual_Fa,0.0
77,Condition1_Feedr,0.0
155,ExterCond_Fa,0.0
146,Exterior2nd_VinylSd,0.0
156,ExterCond_Gd,0.0
157,ExterCond_Po,0.0
76,Neighborhood_Veenker,0.0
159,Foundation_CBlock,0.0
75,Neighborhood_Timber,0.0
161,Foundation_Slab,0.0
147,Exterior2nd_Wd Sdng,0.0
145,Exterior2nd_Stucco,0.0
129,Exterior1st_Stone,0.0
136,Exterior2nd_BrkFace,0.0
81,Condition1_RRAe,0.0
131,Exterior1st_VinylSd,0.0
80,Condition1_PosN,0.0
133,Exterior1st_WdShing,0.0
134,Exterior2nd_AsphShn,0.0
135,Exterior2nd_Brk Cmn,0.0
137,Exterior2nd_CBlock,0.0
144,Exterior2nd_Stone,0.0
138,Exterior2nd_CmentBd,0.0
139,Exterior2nd_HdBoard,0.0
140,Exterior2nd_ImStucc,0.0
141,Exterior2nd_MetalSd,0.0
142,Exterior2nd_Other,0.0
143,Exterior2nd_Plywood,0.0
118,RoofMatl_WdShake,0.0
